签收单号,工单号,客户姓名,签收时间,照片URL,备注
CR20240501001,RO20240501001,李先生,2024-05-01 12:00:00,/photos/CR20240501001.jpg,已完成维修
CR20240501002,RO20240501002,赵女士,2024-05-01 15:00:00,/photos/CR20240501002.jpg,客户满意
CR20240501003,RO20240501003,王先生,2024-05-02 17:00:00,/photos/CR20240501003.jpg,
CR20240501004,RO20240501004,陈先生,2024-05-02 18:00:00,/photos/CR20240501004.jpg,需后续跟进
CR20240501005,,刘女士,2024-05-03 11:00:00,/photos/CR20240501005.jpg,
CR20240501006,RO20240501006,周先生,2024-05-03 14:00:00,/photos/CR20240501006.jpg,更换配件完成
CR20240501007,RO20240501007,吴女士,2024-05-03 16:00:00,/photos/CR20240501007.jpg,
CR20240501008,RO20240501008,郑先生,2024-05-04 14:00:00,/photos/CR20240501008.jpg,客户不在场，电话确认
CR20240501009,RO20240501009,,2024-05-04 16:00:00,/photos/CR20240501009.jpg,
CR20240501010,RO20240501010,马先生,2024-05-05 18:00:00,/photos/CR20240501010.jpg,完成维修
