工单号,工程师,工程师编号,工单日期,客户姓名,客户电话,故障描述,总金额
RO20240501001,张工,E001,2024-05-01 09:00:00,李先生,13800138001,空调不制冷,1500
RO20240501002,王工,E002,2024-05-01 10:30:00,赵女士,13800138002,冰箱噪音大,800
RO20240501003,李工,E003,2024-05-02 14:00:00,王先生,13800138003,洗衣机漏水,500
RO20240501004,张工,E001,2024-05-02 15:30:00,陈先生,13800138004,电视无信号,300
RO20240501005,赵工,E004,2024-05-03 08:30:00,刘女士,13800138005,热水器漏水,1200
RO20240501006,王工,E002,,周先生,13800138006,油烟机不工作,600
RO20240501007,李工,E003,2024-05-03 11:00:00,吴女士,13800138007,燃气灶打不着,400
RO20240501008,,E005,2024-05-04 09:30:00,郑先生,13800138008,微波炉不加热,350
RO20240501009,张工,E001,2024-05-04 13:00:00,孙女士,13800138009,净水器更换滤芯,200
RO20240501010,王工,E002,2024-05-05 16:00:00,马先生,13800138010,消毒柜故障,450
