班次编号,工程师,班次类型,班次日期,签到时间,签退时间,备注
SR20240501001,张工,早班,2024-05-01,2024-05-01 08:00:00,2024-05-01 16:00:00,
SR20240501002,王工,中班,2024-05-01,2024-05-01 12:00:00,2024-05-01 20:00:00,
SR20240501003,李工,晚班,2024-05-01,2024-05-01 16:00:00,2024-05-02 00:00:00,
SR20240501004,张工,早班,2024-05-02,2024-05-02 08:30:00,2024-05-02 16:30:00,迟到
SR20240501005,王工,中班,2024-05-02,2024-05-02 12:00:00,2024-05-02 19:30:00,早退
SR20240501006,李工,晚班,2024-05-02,2024-05-02 00:00:00,2024-05-02 08:00:00,
SR20240501007,赵工,早班,2024-05-03,2024-05-03 08:00:00,2024-05-03 16:00:00,
SR20240501008,张工,加班,2024-05-03,2024-05-03 18:00:00,2024-05-03 22:00:00,
SR20240501009,王工,早班,2024-05-04,2024-05-04 08:00:00,2024-05-04 16:00:00,
SR20240501010,,中班,2024-05-04,2024-05-04 12:00:00,2024-05-04 20:00:00,
SR20240501011,李工,晚班,2024-05-04,2024-05-04 16:00:00,2024-05-04 15:00:00,
SR20240501012,张工,早班,2024-05-05,2024-05-05 08:00:00,2024-05-05 16:00:00,
SR20240501013,王工,中班,2024-05-05,2024-05-05 12:00:00,2024-05-05 20:00:00,
SR20240501014,赵工,晚班,2024-05-05,2024-05-05 23:30:00,2024-05-06 07:30:00,跨天
SR20240501015,赵工,早班,2024-05-06,2024-05-06 08:00:00,2024-05-06 16:00:00,
