"id","businessKey","version","processingReason","sourceFile","originalLineNumber","applicationNo","readerId","readerName","isbn","bookTitle","applicantLibrary","lendingLibrary","applicationDate","status","expectedReturnDate","actualReturnDate"
"97994730-e8e5-4e35-8feb-31be30e591d8","b724947aedc9275595442b530e37075e",1,"normal","borrow_applications.json",50,"BORROW-010049","READER-1736","Lori Roob DDS","978-1-84343-710-9","tergeo comptus adfectus ago vicinus","复旦大学图书馆","南京图书馆",1772380065348,"approved",1774972065348,1774633021737
"a773c8f2-b26d-4a4a-b522-4419da5e55f3","41cffb293c773f5e72e3f7c27f98db9d",1,"normal","borrow_applications.json",48,"BORROW-010047","READER-3405","Jeannie Kub","978-1-4342-6467-1","calcar virgo depulso incidunt aeneus","北京大学图书馆","国家图书馆",1775109904113,"lent",1777701904113,1778161548762
"82dc498c-147b-4336-ac4d-0a9b9b31a7e1","7fd13111f27a2ed34f193d01499c5ac3",1,"normal","borrow_applications.json",49,"BORROW-010048","READER-4089","Willis Will","978-1-68185-720-6","absorbeo ex distinctio aliqua doloremque","清华大学图书馆","南京图书馆",1774860433091,"pending",1777452433091,
"9cec0230-4893-4ad4-8bae-405a791daf95","2439409970cc03394e8a54252e59b744",1,"normal","borrow_applications.json",47,"BORROW-010046","READER-6372","Mrs. Georgia Johns Sr.","978-1-02-421642-4","theologus calamitas cunctatio odio abstergo","北京大学图书馆","国家图书馆",1778354004383,"rejected",1780946004383,1780915143822
"49d86b66-9167-4167-88a4-e30f3ccb4686","c927e1a1e7682d8ec02f812c8da5af72",1,"normal","borrow_applications.json",46,"BORROW-010045","READER-3213","Camille Deckow-Aufderhar","978-1-85489-318-5","adhaero curiositas vivo toties suus","北京大学图书馆","上海图书馆",1778271449217,"rejected",1780863449217,
"a24ab4f4-5f99-4841-9c0d-367263e40f1e","f2ee11d3ac873afd55f4d5dffd3d76bc",1,"normal","borrow_applications.json",45,"BORROW-010044","READER-2380","Miss Natalie Hodkiewicz","978-0-238-57269-2","culpo utrimque amitto contego a","清华大学图书馆","上海图书馆",1772843977647,"approved",1775435977647,1775142431922
"04d6e78f-224b-4bda-87bc-ac636d82665f","b94742d46f5a6a4bff9547ea9dac4d26",1,"normal","borrow_applications.json",44,"BORROW-010043","READER-2043","Carolyn Johnson","978-0-933831-70-4","aegre beneficium denuncio aer utilis","清华大学图书馆","南京图书馆",1773553606682,"pending",1776145606682,
"5bcf2321-5e8c-4ee6-b79e-494cd82c41be","6ebc3960c9370713b4643d9f93cc6d50",1,"normal","borrow_applications.json",43,"BORROW-010042","READER-5436","Chester Collins","978-1-0910-6692-2","tamisium at suppellex nesciunt cum","复旦大学图书馆","上海图书馆",1776902176065,"pending",1779494176065,
"2d285ecd-a46c-4c25-85eb-638f0c3a8f7d","21276fe3d9e95a01115d2e9687ddb2f6",1,"normal","borrow_applications.json",42,"BORROW-010041","READER-5994","Raymond Carter PhD","978-0-383-32832-8","tabgo cavus volup adversus pel","复旦大学图书馆","上海图书馆",1777981558683,"approved",1780573558683,1780893472720
"cbcd3f78-5af5-4f51-a798-0e234976d51d","20bd987d46fda01aadfd37ab36a37c34",1,"normal","borrow_applications.json",41,"BORROW-010040","READER-5997","Archie Robel","978-0-17-565058-3","desino reprehenderit sed umerus cena","北京大学图书馆","南京图书馆",1776470663100,"pending",1779062663100,1779739436503
"5ff7f1f7-c188-4052-b9cd-e87eec941f64","4d130d8fe590e7a74e479063f9b7eeb1",1,"normal","borrow_applications.json",40,"BORROW-010039","READER-9913","Pauline Parker I","978-1-82731-625-3","tersus talio curis conculco amor","北京大学图书馆","南京图书馆",1774927914332,"approved",1777519914332,
"f5a3eaf5-8a38-42ea-9422-1819a0fa0ac1","c5eb2c1c76b072d59acadc8bc992d30f",1,"normal","borrow_applications.json",39,"BORROW-010038","READER-1297","June Stiedemann","978-0-664-24969-4","utpote maxime magni coepi cohaero","清华大学图书馆","南京图书馆",1774449604239,"pending",1777041604239,1777264198463
"79afadac-2d7e-4dd2-87fb-e8db9ab62510","d7f573cc0d511627e2b08d191063ec0e",1,"normal","borrow_applications.json",37,"BORROW-010036","READER-1010","Constance O'Conner DDS","978-1-83292-557-0","illo argumentum cunae utroque aiunt","北京大学图书馆","南京图书馆",1773401328736,"approved",1775993328736,
"9181fb52-b46d-4d90-b984-29656e4fdf93","d42f86ce1980a1354b156d3f3adc3389",1,"normal","borrow_applications.json",38,"BORROW-010037","READER-7234","Nicolas Pfeffer","978-1-75617-358-3","a stillicidium teneo suppellex thema","复旦大学图书馆","国家图书馆",1775587555281,"rejected",1778179555281,1779260943777
