"orderNo","customerName","phone","address","applianceType","appointmentDate","appointmentTime","technicianId","technicianName","status","rawRow","sourceFile","id","source"
"ORD001","张三","13800138001","北京市朝阳区XX小区1号楼101","空调","2024-01-15","09:00-12:00","T001","李师傅","待上门",2,"预约单_正常.csv","5ba95862-62ac-4115-ae01-c422616339d1","appointment"
"ORD002","李四","13800138002","北京市海淀区XX小区2号楼202","洗衣机","2024-01-15","14:00-17:00","T002","王师傅","待上门",3,"预约单_正常.csv","e70e8a8a-ee69-41c4-a6da-ec1556f93047","appointment"
"ORD003","王五","13800138003","北京市西城区XX小区3号楼303","冰箱","2024-01-16","09:00-12:00","T001","李师傅","待上门",4,"预约单_正常.csv","1925a609-5162-40f9-b937-1d2595904eeb","appointment"
"ORD004","赵六","13800138004","北京市东城区XX小区4号楼404","热水器","2024-01-16","14:00-17:00","T003","张师傅","待上门",5,"预约单_正常.csv","1e528107-98df-495c-95e4-e7e3e5860213","appointment"
"ORD005","孙七","13800138005","北京市丰台区XX小区5号楼505","电视","2024-01-17","09:00-12:00","T002","王师傅","待上门",6,"预约单_正常.csv","ff27ad53-11de-420a-99a7-92a76c28c7bc","appointment"
"ORD006","周八","13800138006","北京市朝阳区XX小区6号楼606","空调","2024-01-18","09:00-12:00","T001","李师傅","待上门",2,"预约单_含脏数据.csv","1422e8c2-5462-4954-b454-1047a90053c1","appointment"
"ORD002","李四","13800138002","北京市海淀区XX小区2号楼202","洗衣机","2024-01-15","14:00-17:00","T002","王师傅","待上门",10,"预约单_含脏数据.csv","1f2b35b2-c938-4fe8-ad37-f2f69f64707c","appointment"
"ORD013","多台家电","13800138013","北京市朝阳区XX小区13号楼1301","空调","2024-01-21","09:00-12:00","T001","李师傅","待上门",11,"预约单_含脏数据.csv","7c25b05d-b69c-438e-b2bc-921808c2dd5a","appointment"
"ORD013","多台家电","13800138013","北京市朝阳区XX小区13号楼1301","洗衣机","2024-01-21","14:00-17:00","T002","王师傅","待上门",12,"预约单_含脏数据.csv","afabfb1f-cc0a-4608-b7e6-d3ddd5e8ab0b","appointment"
"ORD014","改约测试","13800138014","北京市海淀区XX小区14号楼1401","冰箱","2024-01-23","09:00-12:00","T001","李师傅","已改约",14,"预约单_含脏数据.csv","702e07d2-7dd6-43e0-8394-936c3d22776b","appointment"
