记录ID,员工ID,员工姓名,快递单号,课程ID,课程名称,签到日期,当前状态,来源文件,来源类型,原始行号,导入时间,批次ID,是否冻结
"7858276b-e48f-4986-a753-70f400efe45a","E001","张三","KDD001","C001","安全生产培训","2024-01-15","manually_corrected","01_registration.csv","registration","2","2026-05-24T10:42:53.987Z","b69ea2cb-e883-4e74-a664-702f2367d020","否"
"7858276b-e48f-4986-a753-70f400efe45a","E001","张三","KDD001","C001","安全生产培训","2024-01-15","manually_corrected","02_qrcode.csv","qrcode","2","2026-05-24T10:43:06.127Z","506fd0ad-928e-459e-b70a-fbfcbe0de269","否"
"7858276b-e48f-4986-a753-70f400efe45a","E001","张三","KDD001","C001","安全生产培训","2024-01-15","manually_corrected","03_homework.csv","homework","2","2026-05-24T10:43:06.900Z","b11d482a-f894-4d46-93b1-7584af0df4e9","否"
"7858276b-e48f-4986-a753-70f400efe45a","E001","张三","KDD001","C001","安全生产培训","2024-01-15","manually_corrected","04_external_receipt.csv","external_receipt","5","2026-05-24T10:43:08.444Z","e39b1a98-ac89-4056-9833-0e3e74aa6d36","否"
"07a1d646-c3f3-415b-a5fa-bf8730b1fb22","E002","李四","KDD002","C001","安全生产培训","2024-01-15","resubmitted","01_registration.csv","registration","3","2026-05-24T10:42:53.987Z","b69ea2cb-e883-4e74-a664-702f2367d020","否"
"07a1d646-c3f3-415b-a5fa-bf8730b1fb22","E002","李四","KDD002","C001","安全生产培训","2024-01-15","resubmitted","02_qrcode.csv","qrcode","3","2026-05-24T10:43:06.127Z","506fd0ad-928e-459e-b70a-fbfcbe0de269","否"
"07a1d646-c3f3-415b-a5fa-bf8730b1fb22","E002","李四","KDD002","C001","安全生产培训","2024-01-15","resubmitted","03_homework.csv","homework","3","2026-05-24T10:43:06.900Z","b11d482a-f894-4d46-93b1-7584af0df4e9","否"
"0106a9e6-5e55-47c8-8f93-9efc31475e2f","E003","王五","KDD003","C001","安全生产培训","2024-01-15","resubmitted","01_registration.csv","registration","4","2026-05-24T10:42:53.987Z","b69ea2cb-e883-4e74-a664-702f2367d020","否"
"0106a9e6-5e55-47c8-8f93-9efc31475e2f","E003","王五","KDD003","C001","安全生产培训","2024-01-15","resubmitted","02_qrcode.csv","qrcode","4","2026-05-24T10:43:06.127Z","506fd0ad-928e-459e-b70a-fbfcbe0de269","否"
"aaca7b2d-b222-4c3c-8cf4-fac341dbc4e2","E004","赵六","KDD004","C001","安全生产培训","2024-01-15","resubmitted","01_registration.csv","registration","5","2026-05-24T10:42:53.987Z","b69ea2cb-e883-4e74-a664-702f2367d020","否"
"aaca7b2d-b222-4c3c-8cf4-fac341dbc4e2","E004","赵六","KDD004","C001","安全生产培训","2024-01-15","resubmitted","04_external_receipt.csv","external_receipt","4","2026-05-24T10:43:08.444Z","e39b1a98-ac89-4056-9833-0e3e74aa6d36","否"
"e36e4cc4-2d64-4bdf-b8e5-f0f7fb7e489a","E005","钱七","KDD005","C001","安全生产培训","2024-01-15","pending","01_registration.csv","registration","6","2026-05-24T10:42:53.987Z","b69ea2cb-e883-4e74-a664-702f2367d020","否"
"e7de8272-44c1-4515-ae02-80154131d718","E006","孙八","KDD001","C001","安全生产培训","2024-01-15","duplicate","01_registration.csv","registration","7","2026-05-24T10:42:53.987Z","b69ea2cb-e883-4e74-a664-702f2367d020","是"
"329b290d-3292-49f6-bec7-d084d3231871","E008","吴十","KDD008","C001","安全生产培训","2024-01-15","pending","02_qrcode.csv","qrcode","5","2026-05-24T10:43:06.127Z","506fd0ad-928e-459e-b70a-fbfcbe0de269","否"
"71b33a60-2d33-4448-af82-e537235a00f1","E009","郑十一","KDD009","C001","安全生产培训","2024-01-15","pending","03_homework.csv","homework","4","2026-05-24T10:43:06.900Z","b11d482a-f894-4d46-93b1-7584af0df4e9","否"
"88be7a96-a8f7-4722-bfbc-6d08a30d70a6","E010","冯十二","KDD010","C001","安全生产培训","2024-01-15","proxy_sign","04_external_receipt.csv","external_receipt","2","2026-05-24T10:43:08.444Z","e39b1a98-ac89-4056-9833-0e3e74aa6d36","否"
"60713202-432f-4159-8435-a30f44ec32c2","E011","陈十三","KDD011","C001","安全生产培训","2024-01-15","proxy_sign","04_external_receipt.csv","external_receipt","3","2026-05-24T10:43:08.444Z","e39b1a98-ac89-4056-9833-0e3e74aa6d36","否"
