member_id,member_name,store_id,store_name,recharge_amount,bonus_amount,payment_method,transaction_time,operator,is_cross_store,is_revoked,business_date
M001,会员1号,S02,门店2,362,77,支付宝,2024-01-31 20:00:00,营业员C,False,False,
M002,会员2号,S03,门店3,321,23,微信,2024-01-14 16:00:00,营业员B,False,False,
M003,会员3号,S01,门店1,207,48,银行卡,2024-01-03 20:00:00,营业员B,False,False,
M004,会员4号,S02,门店2,427,69,微信,2024-01-03 20:00:00,营业员A,False,False,
M005,会员5号,S03,门店3,453,10,银行卡,2024-01-22 21:00:00,营业员C,False,False,
M006,会员6号,S01,门店1,136,14,支付宝,2024-01-06 14:00:00,营业员C,False,False,
M007,会员7号,S02,门店2,660,46,银行卡,2024-01-13 10:00:00,营业员B,False,False,
M008,会员8号,S03,门店3,446,36,微信,2024-01-05 14:00:00,营业员B,False,False,
M009,会员9号,S01,门店1,475,24,支付宝,2024-01-11 17:00:00,营业员B,False,False,
M010,会员10号,S02,门店2,710,100,现金,2024-01-16 16:00:00,营业员A,False,False,
,缺字段会员,S01,门店1,500,50,微信,2024-01-15 10:30:00,营业员A,False,False,
M005,改名会员,S01,门店1,300,30,支付宝,2024-01-16 14:20:00,营业员B,False,False,
M011,无效金额,S02,门店2,-100,0,现金,2024-01-17 09:15:00,营业员C,False,False,
M012,无效时间,S03,门店3,200,20,微信,invalid_date,营业员A,False,False,
M013,跨日记录,S01,门店1,800,80,支付宝,2024-01-31 23:55:00,营业员B,False,False,2024-02-01
M014,跨店消费会员,S02,门店2,1000,100,微信,2024-01-20 10:00:00,营业员A,True,False,
M015,撤销交易会员,S01,门店1,500,50,现金,2024-01-25 15:30:00,营业员C,False,True,
