order_id,salesperson,region,product_line,amount,order_date,payment_status,payment_amount,payment_date,rate_version
ORD0001,孙八,华南区,硬件设备,62823.72,2026-04-01,已回款,62823.72,2026-03-31,
ORD0002,孙八,华南区,咨询服务,485232.89,2026-03-15,未回款,87897.46,2026-05-13,2023Q4
ORD0003,钱七,华东区,云服务,497668.0,2026-04-01,已回款,497668.0,2026-05-04,2024Q1
ORD0004,孙八,西南区,咨询服务,185677.56,2026-03-30,已回款,185677.56,2026-05-16,2023Q4
ORD0005,赵六,华东,咨询服务,201326.85,2026-04-18,部分回款,56391.78,2026-05-05,2024Q2
ORD0006,周九,西北区,咨询服务,386903.61,2026-04-21,已回款,386903.61,,2023Q4
ORD0007,李四,华东区,解决方案,253978.49,2026-02-05,部分回款,16570.43,,
ORD0008,钱七,西北区,企业软件,236180.82,2026-01-28,部分回款,150822.96,2026-04-26,
ORD0009,吴十,华南区,解决方案,220670.07,2026-04-24,已回款,220670.07,2026-05-18,2024Q1
ORD0010,李四,华东区,咨询服务,103916.64,2026-02-21,已回款,103916.64,2026-04-02,
ORD0011,吴十,西北区,咨询服务,241176.78,2026-02-21,已回款,241176.78,,2024Q2
ORD0012,张三,华东区,企业软件,74553.72,2026-04-25,已回款,74553.72,2026-04-21,2023Q4
ORD0013,张三,西北区,云服务,204527.36,2026-03-07,未回款,136551.11,2026-05-07,
ORD0014,钱七,华东区,企业软件,431438.65,2026-02-13,部分回款,274988.47,2026-04-17,
ORD0015,吴十,华南北区,企业软件,39097.58,2026-01-27,未回款,4967.9,2026-05-21,
ORD0016,李四,西北区,解决方案,398337.75,2026-05-05,已回款,398337.75,2026-04-18,2024Q2
ORD0017,张三,华东区,硬件设备,450650.94,2026-03-08,部分回款,194564.02,2026-04-23,2023Q4
ORD0018,孙八,华南区,云服务,270254.19,2026-03-03,部分回款,148716.6,,2023Q4
ORD0019,王五,西北区,硬件设备,110245.47,2026-04-23,未回款,30976.38,2026-05-13,2024Q1
ORD0020,张三,西南区,企业软件,283672.4,2026-02-27,部分回款,150387.05,2026-04-19,2023Q4
ORD0021,赵六,西北区,云服务,128399.31,2026-04-01,已回款,128399.31,,
ORD0022,吴十,西北区,解决方案,177839.74,2026-03-12,已回款,177839.74,2026-04-27,
ORD0023,钱七,西北区,解决方案,187798.2,2026-02-26,已回款,187798.2,2026-03-28,2024Q1
ORD0024,李四,华东区,企业软件,220420.33,2026-03-31,已回款,220420.33,,2023Q4
ORD0025,吴十,华东区,硬件,285940.35,2026-02-03,已回款,285940.35,2026-05-19,2023Q4
ORD0026,孙八,西南区,解决方案,149974.19,2026-05-10,已回款,149974.19,2026-04-11,
ORD0027,李四,西南区,解决方案,300582.86,2026-05-07,部分回款,185327.78,2026-04-26,
ORD0028,孙八,西北区,企业软件,274263.02,2026-05-06,部分回款,52551.6,2026-05-22,
ORD0029,张三,西南区,咨询服务,359097.36,2026-03-03,已回款,359097.36,2026-05-05,2024Q2
ORD0030,孙八,西南区,解决方案,6107.07,2026-02-23,已回款,6107.07,2026-04-17,2024Q1
