交易时间,卡号,车牌号,司机,油品,数量,单价,金额,加油站,备注
2024-01-05 08:30:00,100123456789,京A12345,张三,92#,45.5,7.5,341.25,中石油朝阳站,正常
2024-01-05 09:15:00,100123456790,京B67890,李四,0#,60.0,7.2,432.00,中石化海淀站,货车加油
2024-01-05 10:00:00,100123456791,京C11111,王五,95#,50.0,8.0,400.00,中石油西城站,
2024-01-06 14:20:00,100123456792,京A12345,张三,92#,38.0,7.5,285.00,中石油朝阳站,第二次加油
2024-01-06 16:45:00,100123456793,京D22222,赵六,98#,55.0,8.8,484.00,中石化东城站,
2024-01-07 07:30:00,100123456794,京B67890,李四,0#,55.5,7.2,399.60,中石化海淀站,
2024-01-07 11:00:00,100123456795,京E33333,孙七,92#,42.0,7.5,315.00,中石油丰台站,新车牌
2024-01-08 09:30:00,100123456796,京C11111,王五,95#,48.0,8.0,384.00,中石油西城站,
2024-01-08 13:15:00,100123456797,京A12346,张三,92#,52.0,7.5,390.00,中石油朝阳站,车牌可能录错
2024-01-08 15:00:00,100123456798,京F44444,周八,0#,250.0,7.2,1800.00,中石化石景山站,大货车加油
2024-01-09 08:00:00,100123456799,京B67890,李四,92#,40.0,7.5,300.00,中石化海淀站,油品可能不对
2024-01-09 10:30:00,100123456800,京G55555,吴九,95#,44.5,8.0,356.00,中石油通州站,
2024-01-10 14:00:00,100123456801,京A12345,张三,92#,35.0,7.5,262.50,中石油朝阳站,
2024-01-10 16:30:00,100123456802,京H66666,,92#,41.0,7.5,307.50,中石油大兴站,司机信息缺失
2024-01-11 09:00:00,100123456803,京C11111,王五,95#,47.0,8.0,376.00,中石油西城站,
