名次,选手ID,选手姓名,原始总分,加权总分,是否同分,同分策略,同分说明,受弃权影响,弃权项目,申诉编号,名次解释
1,A007,赵磊,254.5,297.85,否,,,否,,,第1名 赵磊，加权总分 297.85
2,A010,吴敏,255.7,296.06,否,,,否,,,第2名 吴敏，加权总分 296.06
3,A002,李娜,242.7,276.75,否,,,否,,,第3名 李娜，加权总分 276.75
4,A003,王强,240.6,273.82,否,,,否,,,第4名 王强，加权总分 273.82
5,A008,黄丽,229.1,267.01,否,,,否,,,第5名 黄丽，加权总分 267.01
6,A006,杨帆,210.6,244.47,否,,,否,,,第6名 杨帆，加权总分 244.47
7,A004,刘洋,217.7,241.01,否,,,否,,,第7名 刘洋，加权总分 241.01
8,A001,张伟,195.7,223.56,否,,,否,,,第8名 张伟，加权总分 223.56
9,A009,周杰,189.5,216.47,否,,,否,,,第9名 周杰，加权总分 216.47
10,A005,陈晨,172.7,196.37,否,,,否,,,第10名 陈晨，加权总分 196.37
