设备编号,日期,班次,开始时间,结束时间,司机,工作时长,起始表数,结束表数,是否签字,签字图片,备注
EX-001,2024-05-01,早班,08:00,16:00,张师傅,8,1200,1250,是,scan/20240501_1.jpg,正常作业
EX-001,2024-05-01,中班,16:00,00:00,李师傅,8,1250,1310,是,scan/20240501_2.jpg,跨日夜班
EX-001,2024-05-02,早班,08:00,16:00,王师傅,8,1310,1365,否,,未签字待确认
EX-001,2024-05-03,早班,08:00,16:00,张师傅,6,1365,1400,是,scan/20240503_1.jpg,上午保养2小时
EX-002,2024-05-01,白班,09:00,18:00,刘师傅,9,0,0,是,scan/20240501_L1.jpg,装载机作业
EX-002,2024-05-02,白班,09:00,18:00,刘师傅,9,0,0,是,scan/20240502_L1.jpg,
EX-003,2024-05-01,早班,07:00,15:00,陈师傅,8,5000,5120,是,scan/20240501_T1.jpg,
EX-003,2024-05-01,中班,15:00,23:00,赵师傅,8,5120,5250,是,scan/20240501_T2.jpg,
EX-003,2024-05-02,早班,07:00,15:00,陈师傅,8,5250,5380,是,scan/20240502_T1.jpg,
TR-001,2024-05-01,白班,08:00,20:00,周师傅,12,800,950,是,scan/20240501_TR1.jpg,
