学号,姓名,班级,课程ID,课程名称,考场ID,考场名称,时段,座位号,导入顺序
S013,黄十五,软工2002,C001,高等数学,H001,第一教学楼101,1,1,0
S015,林十七,网安2001,C001,高等数学,H001,第一教学楼101,1,2,1
S017,马十九,网安2001,C001,高等数学,H001,第一教学楼101,1,3,2
S019,郭廿一,网安2002,C001,高等数学,H001,第一教学楼101,1,4,3
S001,张三,计科2001,C001,高等数学,H001,第一教学楼101,1,5,4
S002,李四,计科2001,C001,高等数学,H001,第一教学楼101,1,6,5
S003,王五,计科2001,C001,高等数学,H001,第一教学楼101,1,7,6
S005,孙七,计科2002,C001,高等数学,H001,第一教学楼101,1,8,7
S006,周八,计科2002,C001,高等数学,H001,第一教学楼101,1,9,8
S007,吴九,计科2002,C001,高等数学,H001,第一教学楼101,1,10,9
S009,钱十一,软工2001,C001,高等数学,H001,第一教学楼101,1,11,10
S011,陈十三,软工2001,C001,高等数学,H001,第一教学楼101,1,12,11
S018,胡二十,网安2002,C002,大学物理,H001,第一教学楼101,2,1,12
S015,林十七,网安2001,C002,大学物理,H001,第一教学楼101,2,2,13
S001,张三,计科2001,C002,大学物理,H001,第一教学楼101,2,3,14
S002,李四,计科2001,C002,大学物理,H001,第一教学楼101,2,4,15
S004,赵六,计科2001,C002,大学物理,H001,第一教学楼101,2,5,16
S005,孙七,计科2002,C002,大学物理,H001,第一教学楼101,2,6,17
S006,周八,计科2002,C002,大学物理,H001,第一教学楼101,2,7,18
S008,郑十,计科2002,C002,大学物理,H001,第一教学楼101,2,8,19
S009,钱十一,软工2001,C002,大学物理,H001,第一教学楼101,2,9,20
S012,杨十四,软工2002,C002,大学物理,H001,第一教学楼101,2,10,21
S014,朱十六,软工2002,C002,大学物理,H001,第一教学楼101,2,11,22
S010,刘十二,软工2001,C003,程序设计,H001,第一教学楼101,0,1,23
S015,林十七,网安2001,C003,程序设计,H001,第一教学楼101,0,2,24
S017,马十九,网安2001,C003,程序设计,H001,第一教学楼101,0,3,25
S020,何廿二,网安2002,C003,程序设计,H001,第一教学楼101,0,4,26
S001,张三,计科2001,C003,程序设计,H001,第一教学楼101,0,5,27
S003,王五,计科2001,C003,程序设计,H001,第一教学楼101,0,6,28
S005,孙七,计科2002,C003,程序设计,H001,第一教学楼101,0,7,29
S007,吴九,计科2002,C003,程序设计,H001,第一教学楼101,0,8,30
S012,杨十四,软工2002,C003,程序设计,H001,第一教学楼101,0,9,31
S010,刘十二,软工2001,C004,数据结构,H001,第一教学楼101,5,1,32
S013,黄十五,软工2002,C004,数据结构,H001,第一教学楼101,5,2,33
S018,胡二十,网安2002,C004,数据结构,H001,第一教学楼101,5,3,34
S016,徐十八,网安2001,C004,数据结构,H001,第一教学楼101,5,4,35
S020,何廿二,网安2002,C004,数据结构,H001,第一教学楼101,5,5,36
S002,李四,计科2001,C004,数据结构,H001,第一教学楼101,5,6,37
S004,赵六,计科2001,C004,数据结构,H001,第一教学楼101,5,7,38
S006,周八,计科2002,C004,数据结构,H001,第一教学楼101,5,8,39
S008,郑十,计科2002,C004,数据结构,H001,第一教学楼101,5,9,40
S016,徐十八,网安2001,C005,计算机网络,H001,第一教学楼101,4,1,41
S019,郭廿一,网安2002,C005,计算机网络,H001,第一教学楼101,4,2,42
S020,何廿二,网安2002,C005,计算机网络,H001,第一教学楼101,4,3,43
S003,王五,计科2001,C005,计算机网络,H001,第一教学楼101,4,4,44
S004,赵六,计科2001,C005,计算机网络,H001,第一教学楼101,4,5,45
S007,吴九,计科2002,C005,计算机网络,H001,第一教学楼101,4,6,46
S008,郑十,计科2002,C005,计算机网络,H001,第一教学楼101,4,7,47
S011,陈十三,软工2001,C005,计算机网络,H001,第一教学楼101,4,8,48
S014,朱十六,软工2002,C005,计算机网络,H001,第一教学楼101,4,9,49
S010,刘十二,软工2001,C006,操作系统,H001,第一教学楼101,3,1,50
S013,黄十五,软工2002,C006,操作系统,H001,第一教学楼101,3,2,51
S018,胡二十,网安2002,C006,操作系统,H001,第一教学楼101,3,3,52
S016,徐十八,网安2001,C006,操作系统,H001,第一教学楼101,3,4,53
S017,马十九,网安2001,C006,操作系统,H001,第一教学楼101,3,5,54
S019,郭廿一,网安2002,C006,操作系统,H001,第一教学楼101,3,6,55
S009,钱十一,软工2001,C006,操作系统,H001,第一教学楼101,3,7,56
S011,陈十三,软工2001,C006,操作系统,H001,第一教学楼101,3,8,57
S012,杨十四,软工2002,C006,操作系统,H001,第一教学楼101,3,9,58
S014,朱十六,软工2002,C006,操作系统,H001,第一教学楼101,3,10,59
