student_id,name,class_name,course_ids,special_needs
S001,张三,计科2001,C001;C002;C003,
S002,李四,计科2001,C001;C002;C004,
S003,王五,计科2001,C001;C003;C005,
S004,赵六,计科2001,C002;C004;C005,
S005,孙七,计科2002,C001;C002;C003,
S006,周八,计科2002,C001;C002;C004,
S007,吴九,计科2002,C001;C003;C005,
S008,郑十,计科2002,C002;C004;C005,
S009,钱十一,软工2001,C001;C002;C006,
S010,刘十二,软工2001,C003;C004;C006,轮椅:腿部受伤
S011,陈十三,软工2001,C001;C005;C006,
S012,杨十四,软工2002,C002;C003;C006,
S013,黄十五,软工2002,C001;C004;C006,前排座位:近视
S014,朱十六,软工2002,C002;C005;C006,
S015,林十七,网安2001,C001;C002;C003,
S016,徐十八,网安2001,C004;C005;C006,
S017,马十九,网安2001,C001;C003;C006,
S018,胡二十,网安2002,C002;C004;C006,视力障碍:需大字试卷
S019,郭廿一,网安2002,C001;C005;C006,
S020,何廿二,网安2002,C003;C004;C005,
