交易流水号,订单号,支付金额,支付时间,支付渠道,付款人,备注
DEP20260510001,PO20260501001,1000.00,2026-05-10 09:30:00,支付宝,张三,
DEP20260510002,PO20260501002,2000.00,2026-05-10 10:15:00,微信,李四,
DEP20260510003,PO20260501003,200.00,2026-05-10 11:20:00,支付宝,王五,
DEP20260510004,PO20260501004,500.00,2026-05-10 14:05:00,银行卡,赵六,
DEP20260510005,PO20260501005,300.00,2026-05-10 15:30:00,支付宝,孙七,
DEP20260510006,PO20260501006,150.00,2026-05-10 16:45:00,微信,周八,定金少付50元
DEP20260510007,PO20260501007,100.00,2026-05-10 18:00:00,支付宝,吴九,
DEP20260510008,PO20260501008,50.00,2026-05-10 19:20:00,微信,郑十,
DEP20260510009,PO20260501010,600.00,2026-05-10 20:30:00,支付宝,陈十二,
DEP20260510010,PO20260501011,800.00,2026-05-10 21:00:00,支付宝,额外订单测试,缺失订单记录
