门店编号,门店名称,交易日期,班次,收银员,交易类型,金额,支付方式,流水号,是否签字确认,备用金类型
S001,朝阳店,2026-05-01,早班,张三,销售,128.00,微信,T20260501001,是,
S001,朝阳店,2026-05-01,早班,张三,退款,-56.00,微信,T20260501002,否,
S001,朝阳店,2026-05-01,中班,李四,销售,320.00,支付宝,T20260501003,是,
S001,朝阳店,2026-05-01,中班,李四,备用金存取,500.00,现金,T20260501004,是,早班备用金交接
S002,海淀店,2026-05-01,晚班,王五,销售,89.50,现金,T20260501005,是,
S002,海淀店,2026-05-02,早班,赵六,销售,156.00,微信,T20260502001,是,
S002,海淀店,2026-05-02,早班,赵六,销售,156.00,微信,T20260502001,是,
S002,海淀店,2026-05-02,中班,孙七,退款,-99.00,支付宝,T20260502002,是,
S003,西城店,2026-05-02,中班,孙七,备用金交接,300.00,现金,T20260502003,是,中班备用金交接
S003,西城店,2026-05-02,晚班,周八,备用金交接,300.00,现金,T20260502004,是,中班备用金交接
S003,西城店,2026-05-03,早班,张三,销售,210.00,现金,T20260503001,是,
S003,西城店,2026-05-03,早班,张三,退款,-128.00,现金,T20260503002,待确认,
S001,朝阳店,2026-05-03,中班,李四,销售,450.00,银行卡,T20260503003,是,
S001,朝阳店,2026-05-03,中班,李四,销售,450.00,银行卡,T20260503004,是,
S002,海淀店,2026-05-03,晚班,王五,销售,78.00,微信,T20260503005,是,
