assignment_id,person,date,shift,hours,status,source_rows,created_at,updated_at
asg-20260609191112403-0-a40c3e,张伟,2026-06-10,早班,7.5,confirmed,drafts.csv:1;drafts.csv:13,2026-06-09T19:11:12,2026-06-09T19:11:53
asg-20260609191112404-1-b498b7,李娜,2026-06-10,中班,6.0,pending,drafts.csv:2,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-2-ae796a,王强,2026-06-10,晚班,8.0,pending,drafts.csv:3,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-3-953734,赵磊,2026-06-11,早班,4.0,pending,drafts.csv:5,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-4-f89004,陈静,2026-06-11,中班,8.0,pending,drafts.csv:6,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-5-fc63d9,刘洋,2026-06-11,晚班,8.0,pending,drafts.csv:7,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-6-548146,孙悦,2026-06-12,早班,8.0,pending,drafts.csv:10,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-7-e1b723,周杰,2026-06-12,中班,6.0,pending,drafts.csv:11,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-8-4d5561,吴敏,2026-06-12,晚班,8.0,pending,drafts.csv:12,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-10-ca7cbc,李娜,2026-06-12,早班,4.0,pending,drafts.csv:14,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-11-c012f7,张伟,2026-06-13,早班,8.0,pending,drafts.md:1;drafts.md:4,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-12-12e531,李娜,2026-06-13,中班,6.0,pending,drafts.md:2;drafts.md:5,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-13-713c50,王强,2026-06-13,晚班,8.0,pending,drafts.md:3;drafts.md:6,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-14-77703d,赵磊,2026-06-14,早班,8.0,pending,drafts.md:4;drafts.md:7,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-15-d0f740,陈静,2026-06-14,中班,6.0,pending,drafts.md:5;drafts.md:8,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-16-f82cf0,刘洋,2026-06-14,晚班,8.0,pending,drafts.md:6;drafts.md:9,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-23-79ecc4,孙悦,2026-06-15,全天,10.0,pending,drafts.md:12,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-24-79408f,周杰,2026-06-15,早班,4.0,pending,drafts.md:13,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-25-8e6c16,吴敏,2026-06-15,晚班,8.0,pending,drafts.md:14,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-26-42d8d6,张伟,2026-06-16,早班,8.0,pending,drafts.txt:3,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-27-420da9,李娜,2026-06-16,中班,8.0,pending,drafts.txt:4,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-28-e99971,王强,2026-06-16,晚班,8.0,pending,drafts.txt:5,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-29-461e31,赵磊,2026-06-17,早班,4.0,pending,drafts.txt:6,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-30-f361c4,陈静,2026-06-17,中班,8.0,pending,drafts.txt:10,2026-06-09T19:11:12,2026-06-09T19:11:12
asg-20260609191112404-31-7ce8c3,刘洋,2026-06-17,晚班,8.0,pending,drafts.txt:11,2026-06-09T19:11:12,2026-06-09T19:11:12
