ce_id,severity,rule,description,affected_assignments,created_at
ce-20260609191112406-39-680b7d,info,coverage_gap,2026-06-10 早班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-40-6ab821,info,coverage_gap,2026-06-10 中班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-41-919739,info,coverage_gap,2026-06-10 晚班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-42-fe21f6,info,coverage_gap,2026-06-11 早班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-43-e11502,info,coverage_gap,2026-06-11 中班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-44-74dd7e,info,coverage_gap,2026-06-11 晚班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-45-5bbd32,info,coverage_gap,2026-06-12 早班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-46-fdcf19,info,coverage_gap,2026-06-12 中班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-47-290c21,info,coverage_gap,2026-06-12 晚班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-48-6eb22d,info,coverage_gap,2026-06-13 早班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-49-533766,info,coverage_gap,2026-06-13 中班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-50-7c68f6,info,coverage_gap,2026-06-13 晚班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-51-7af132,info,coverage_gap,2026-06-14 早班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-52-62b72e,info,coverage_gap,2026-06-14 中班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-53-dd1d53,info,coverage_gap,2026-06-14 晚班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-54-65ba72,info,coverage_gap,2026-06-15 早班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-55-93b521,info,coverage_gap,2026-06-15 中班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-56-069c71,info,coverage_gap,2026-06-15 晚班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-57-c5d616,info,coverage_gap,2026-06-16 早班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-58-cf5aec,info,coverage_gap,2026-06-16 中班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-59-0f29ba,info,coverage_gap,2026-06-16 晚班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-60-3f27ba,info,coverage_gap,2026-06-17 早班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-61-e9b83a,info,coverage_gap,2026-06-17 中班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-62-0ee7e2,info,coverage_gap,2026-06-17 晚班 无人排班,,2026-06-09T19:11:12
ce-20260609191112406-63-094f10,info,pending_review,张伟 2026-06-10 早班 待确认,asg-20260609191112403-0-a40c3e,2026-06-09T19:11:12
ce-20260609191112406-64-d96e50,info,pending_review,李娜 2026-06-10 中班 待确认,asg-20260609191112404-1-b498b7,2026-06-09T19:11:12
ce-20260609191112406-65-5ce9dc,info,pending_review,王强 2026-06-10 晚班 待确认,asg-20260609191112404-2-ae796a,2026-06-09T19:11:12
ce-20260609191112406-66-c7aaca,info,pending_review,赵磊 2026-06-11 早班 待确认,asg-20260609191112404-3-953734,2026-06-09T19:11:12
ce-20260609191112406-67-388922,info,pending_review,陈静 2026-06-11 中班 待确认,asg-20260609191112404-4-f89004,2026-06-09T19:11:12
ce-20260609191112406-68-6fc53d,info,pending_review,刘洋 2026-06-11 晚班 待确认,asg-20260609191112404-5-fc63d9,2026-06-09T19:11:12
ce-20260609191112406-69-035219,info,pending_review,孙悦 2026-06-12 早班 待确认,asg-20260609191112404-6-548146,2026-06-09T19:11:12
ce-20260609191112406-70-9494b6,info,pending_review,周杰 2026-06-12 中班 待确认,asg-20260609191112404-7-e1b723,2026-06-09T19:11:12
ce-20260609191112406-71-17acb4,info,pending_review,吴敏 2026-06-12 晚班 待确认,asg-20260609191112404-8-4d5561,2026-06-09T19:11:12
ce-20260609191112406-72-990973,info,pending_review,李娜 2026-06-12 早班 待确认,asg-20260609191112404-10-ca7cbc,2026-06-09T19:11:12
ce-20260609191112406-73-dd7e31,info,pending_review,张伟 2026-06-13 早班 待确认,asg-20260609191112404-11-c012f7,2026-06-09T19:11:12
