曲目编号,声部,演唱者,时码,状态,备注,时码偏差
TRK001,女高音,王芳,00:00:00,已处理,领唱声部,
TRK001,女低音,李娜,00:00:05,已处理,和声,
TRK001,男高音,张伟,00:00:03,已处理,主旋,
TRK001,男低音,刘强,00:00:08,已处理,低音部,
TRK002,女高音,王芳,00:02:15,已处理,二部合唱,
TRK002,女高音,陈静,00:02:17,时码偏半拍,二部合唱,偏半拍
TRK002,女低音,李娜,00:02:20,已处理,
TRK002,男高音,张伟,00:02:18,已处理,
TRK002,男低音,刘强,00:02:22,已处理,
TRK003,女高音,赵敏,00:05:30,已处理,
TRK003,女低音,孙丽,00:05:33,已处理,
TRK003,男高音,周杰,00:05:32,时码偏半拍,节奏不稳,时码偏移约100ms
TRK003,男低音,吴刚,00:05:35,已处理,
TRK004,女高音,王芳,00:08:00,跳过,临时取消,
TRK004,女低音,李娜,00:08:00,跳过,临时取消,
TRK005,男高音,黄勇,00:10:20,已处理,
TRK005,男低音,林海,00:10:25,已处理,
TRK005,女高音,刘雪,00:10:18,时码偏半拍,新人录音,半拍偏差
,女高音,无名,,已处理,缺曲目编号,
TRK007,,张伟,00:15:00,已处理,缺声部,
TRK008,男低音,,00:16:00,已处理,缺演唱者,
