﻿"raw_line","file_name","anomaly_type","severity","severity_cn","field_name","expected","actual","message","folder_path","calculation_rule_version","click_back_url","review_id","review_time","status"
"10","006_旧版母带_2023级毕业音乐会.wav","旧版母带混入","critical","严重","is_master_tape","false（课时录音）","true（母带录音）","检测到旧版母带混入，版本: v2023-master，该记录不应计入正常课时复核","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","file:///Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt#L10","cc3220e0-941a-4407-a909-d420988368a4","2026-06-21T17:50:04.940534","异常-需立即处理"
"11","007_小刚_坏数据_缺失字段.wav","缺失字段","high","高","student_name","","","学生姓名为空","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","file:///Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt#L11","cc3220e0-941a-4407-a909-d420988368a4","2026-06-21T17:50:04.940534","异常-需立即处理"
"11","007_小刚_坏数据_缺失字段.wav","缺失字段","medium","中","track_name","","","曲目名称为空","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","file:///Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt#L11","cc3220e0-941a-4407-a909-d420988368a4","2026-06-21T17:50:04.940534","异常-需立即处理"
"18","第18行","格式错误","high","高","整体格式","","格式错误这一行没有分隔符内容混乱15","字段数量不足，预期9个字段，实际1个","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","file:///Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt#L18","cc3220e0-941a-4407-a909-d420988368a4","2026-06-21T17:50:04.940534","异常-需立即处理"
"19","013_小红_日期异常.wav","日期异常","medium","中","lesson_date","2000-2030年间的有效日期","2099-01-15","日期超出合理范围: 2099-01-15","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","file:///Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt#L19","cc3220e0-941a-4407-a909-d420988368a4","2026-06-21T17:50:04.940534","异常-需立即处理"
"20","014_小刚_日期格式错误.wav","日期格式错误","high","高","lesson_date","YYYY-MM-DD格式","2026/15/99","日期格式无效: 2026/15/99","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","file:///Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt#L20","cc3220e0-941a-4407-a909-d420988368a4","2026-06-21T17:50:04.940534","异常-需立即处理"
"12","008_小明_极端高分_测试样本.wav","分数异常-过高","medium","中","overall_score","< 98.0","99.09","各项指标异常偏高，接近满分，需人工复核是否为测试样本或数据异常","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","file:///Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt#L12","cc3220e0-941a-4407-a909-d420988368a4","2026-06-21T17:50:04.940534","异常-需立即处理"
"12","008_小明_极端高分_测试样本.wav","总分异常","low","低","overall_score","","","总分99.1分超过警戒值98.0，建议复核","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","file:///Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt#L12","cc3220e0-941a-4407-a909-d420988368a4","2026-06-21T17:50:04.940534","异常-需立即处理"
"13","009_小红_极端低分_状态不好.wav","分数异常-过低","medium","中","overall_score","> 40.0","26.64","各项指标异常偏低，需确认学生状态或录音质量","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","file:///Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt#L13","cc3220e0-941a-4407-a909-d420988368a4","2026-06-21T17:50:04.940534","异常-需立即处理"
"4","001_小明_拜厄练习曲_No8.wav","重复记录","low","低","综合字段","","","检测到重复记录: 小明|拜厄练习曲No.8|2026-06-15，共2条","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","file:///Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt#L4","cc3220e0-941a-4407-a909-d420988368a4","2026-06-21T17:50:04.940534","异常-需立即处理"
"16","011_小明_重复上传_同001.wav","重复记录","low","低","综合字段","","","检测到重复记录: 小明|拜厄练习曲No.8|2026-06-15，共2条","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","file:///Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt#L16","cc3220e0-941a-4407-a909-d420988368a4","2026-06-21T17:50:04.940534","异常-需立即处理"
"6","003_小刚_车尔尼599_No25.wav","进步异常-倒退","medium","中","overall_score","","","学生小刚成绩明显倒退(-11.8分)，需关注学习状态","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","file:///Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt#L6","cc3220e0-941a-4407-a909-d420988368a4","2026-06-21T17:50:04.940534","异常-需立即处理"
