﻿"raw_line","student_name","teacher_name","track_name","audio_file","tempo_accuracy","pitch_accuracy","rhythm_stability","expression_score","overall_score","notes","has_anomaly","anomaly_refs","folder_path","calculation_rule_version","review_id","review_time","annotation","delivery_list_version"
"4","小明","王老师","拜厄练习曲No.8","001_小明_拜厄练习曲_No8.wav","85.23","83.96","82.88","90.14","85.0","","是","重复记录","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","7ff77516-f9f8-4e1b-8fea-4bc3253410ae","2026-06-21T17:52:41.093088","",""
"5","小红","李老师","哈农练指No.12","002_小红_哈农练指_No12.wav","76.98","78.58","74.05","81.51","77.41","","否","","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","7ff77516-f9f8-4e1b-8fea-4bc3253410ae","2026-06-21T17:52:41.093088","",""
"6","小刚","王老师","车尔尼599No.25","003_小刚_车尔尼599_No25.wav","65.27","71.91","67.16","71.9","68.73","","是","进步异常-倒退","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","7ff77516-f9f8-4e1b-8fea-4bc3253410ae","2026-06-21T17:52:41.093088","",""
"7","小明","王老师","巴赫初级No.1","004_小明_巴赫初级_No1.wav","74.13","72.02","73.44","71.96","73.0","","否","","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","7ff77516-f9f8-4e1b-8fea-4bc3253410ae","2026-06-21T17:52:41.093088","",""
"8","小红","李老师","贝多芬小奏鸣曲第一乐章","005_小红_贝多芬小奏鸣曲.wav","78.42","76.41","74.0","84.94","77.69","","否","","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","7ff77516-f9f8-4e1b-8fea-4bc3253410ae","2026-06-21T17:52:41.093088","",""
"10","全体","张主任","毕业音乐会合辑","006_旧版母带_2023级毕业音乐会.wav","87.53","89.7","93.21","87.04","89.53","【旧版母带，不计入正常课时统计】","是","旧版母带混入","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","7ff77516-f9f8-4e1b-8fea-4bc3253410ae","2026-06-21T17:52:41.093088","",""
"12","小明","王老师","测试曲目","008_小明_极端高分_测试样本.wav","99.63","98.5","99.43","98.66","99.09","","是","分数异常-过高,总分异常","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","7ff77516-f9f8-4e1b-8fea-4bc3253410ae","2026-06-21T17:52:41.093088","",""
"13","小红","李老师","复习曲目","009_小红_极端低分_状态不好.wav","28.34","33.46","18.89","22.52","26.64","","是","分数异常-过低","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","7ff77516-f9f8-4e1b-8fea-4bc3253410ae","2026-06-21T17:52:41.093088","",""
"15","小刚","赵指挥","乐队合练片段","010_小刚_乐队排练_授权使用.wav","81.0","82.56","77.71","80.28","80.54","【排练/授权使用，需额外确认】","否","","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","7ff77516-f9f8-4e1b-8fea-4bc3253410ae","2026-06-21T17:52:41.093088","",""
"16","小明","王老师","拜厄练习曲No.8","011_小明_重复上传_同001.wav","77.2","79.78","77.9","86.87","79.6","","是","重复记录","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","7ff77516-f9f8-4e1b-8fea-4bc3253410ae","2026-06-21T17:52:41.093088","",""
"19","小红","李老师","未来日期","013_小红_日期异常.wav","77.62","81.12","78.13","86.2","80.09","","是","日期异常","/Users/mac/pro/solo/workspaces/y13235/data/audio_folders/2026-06-15_琴房A_记录.txt","v1.0","7ff77516-f9f8-4e1b-8fea-4bc3253410ae","2026-06-21T17:52:41.093088","",""
