学生ID,学生姓名,班级,错题数,失分,备注,后补说明,截图
S001,张三,高一(1)班,5题,12分,计算错误,,screenshot001.png
S002,李四,高一(1)班,3题,8分,审题错误,第2题是看漏条件,screenshot002.png
S003,王五,高一(1)班,,15分,公式记错,,screenshot003.png
S004,赵六,高一(1)班,7,20分,多知识点综合失分,,screenshot004.png
S005,孙七,高一(2)班,250题,30分,大量错题,可能是缺考,screenshot005.png
S006,周八,高一(2)班,4题,-5分,得分录入异常,,screenshot006.png
S007,吴九,高一(2)班,6题,15分,,,screenshot007.png
S008,郑十,高一(2)班,10题,45分,后补说明覆盖备注,之前写得太简单了,screenshot008.png
S009,冯十一,高一(3)班,3道,18分,图形题失分,,screenshot009.png
S010,陈十二,高一(3)班,8个,22points,英语错题,,screenshot010.png
S011,褚十三,高一(3)班,1题,3分,极少量错题,,screenshot011.png
S012,卫十四,高一(3)班,12题,40分,需重点关注,,screenshot012.png
S013,蒋十五,高一(1)班,,30分,多项缺值样本,,screenshot013.png
S014,沈十六,高一(2)班,15,50,单位双缺失,,screenshot014.png
S015,韩十七,高一(3)班,9题,33分,正常样本备用1,,screenshot015.png
S016,杨十八,高一(1)班,6题,25分,正常样本备用2,,screenshot016.png
S017,朱十九,高一(2)班,4题,17分,正常样本备用3,,screenshot017.png
S018,秦二十,高一(3)班,11题,38分,正常样本备用4,,screenshot018.png
S019,尤廿一,高一(1)班,7题,28分,正常样本备用5,,screenshot019.png
S020,许廿二,高一(2)班,5题,19分,正常样本备用6,,screenshot020.png
